Cuenta,EtiquetaReal,Edad,Genero,#Dependientes,NivelEducacion,EstadoCivil,CategoriaIngreso,CategoriaTarjeta,MesesEnBanco,#Productos,MesInactivoUltAnio,#ContactosUltAnio,CreditoLimite,SaldoGastado,SaldoAbierto,CambioMontoTransaccion,ImporteTransaccionesUltAnio,#TransaccionesUltAnio,Cambio#Transacciones,VelocidadUso
818770008,Existing Customer,50.1,F,6.6,Graduate,Single,Less than $40K,Blue,48,7.8,0,2.3,7888,419.949094199872,7468.05090580013,1.29052519059224,1184.5,30.2896561388414,3.83492739640652,0.084809637375649
713061558,Existing Customer,42.5,M,1.1,Graduate,Married,$40K - $60K,Blue,39,3.2,0.5,2,3623.6,1592.11987927808,2031.48012072192,1.42961388708449,1258.7,19.8106600584618,0.950912546194915,0.229502579911056
710930508,Existing Customer,39.3,M,1.2,Uneducated,Single,$60K - $80K,Blue,40.6,3.8,1.9,0.2,22602.7,2139.74353912351,20462.9564608765,3.63165811838933,1558,25.7797069209746,1.34691583613401,0.203968120746211
710821833,Existing Customer,65.4,M,2,Unknown,Married,$40K - $60K,Blue,49.2,4.8,1.6,2.5,9287.5,2102.56352181901,7184.93647818099,1.19451441965558,1104.6,27.0213131825069,1.39000190332553,0.163989389766091
816082233,Existing Customer,35.8,M,4.4,Graduate,Unknown,$60K - $80K,Blue,25.9,6.3,1.5,3.4,8545.9,1575.87561009008,6970.02438990992,1.35870765620129,1360.2,29.9276197940512,2.11738477275213,0.243720042699539
712396908,Existing Customer,56.8,F,3.3,Graduate,Married,Less than $40K,Blue,48.5,5.1,2.4,1.5,2578.9,1039.90099388914,1538.99900611086,1.22483447261669,1657.7,22.1573737579191,0.424752827099938,0.270635067547824
709327383,Existing Customer,42.3,F,1.6,Graduate,Married,Unknown,Blue,34.7,5.3,1.8,1.7,14971.8,1656.76851679363,13315.0314832064,0.797656649278855,1259.6,17.1715005812647,0.902285485305557,0.131052432655742
708508758,Attrited Customer,61.9,F,1.5,Graduate,Married,Less than $40K,Blue,48,2.4,3.8,3.3,1415.1,44.018714323408,1371.08128567659,0.979803987214187,422.4,20.6037393107465,0.480287935430968,0.04968195726265
784725333,Existing Customer,39.6,M,4.4,High School,Married,$40K - $60K,Blue,28.9,5.8,1.6,1.3,4005.5,91.728439385492,3913.77156061451,1.62071097735593,1138.4,19.4197809623677,1.45044678566962,0.159992495850859
789124683,Existing Customer,54.7,M,3.8,Unknown,Married,$80K - $120K,Blue,41.1,4.9,2.1,3.4,11878.2,-264.345894513655,12142.5458945137,1.15964206894778,1311.8,20.69623915141,0.730694527457679,0.07951871197237
771071958,Existing Customer,38.6,F,1,Graduate,Single,Less than $40K,Blue,26.6,5.5,0.1,2.5,7706.9,2104.72529785293,5602.17470214707,0.891780501574219,875.5,19.8886298634459,1.0274647621569,0.187937479877393
806624208,Existing Customer,48.3,M,2.2,High School,Married,$40K - $60K,Blue,37.5,6.7,0.7,0.1,4242.9,1705.45808915702,2537.44191084298,0.996877625622724,1058.2,33.4105445846971,0.870503606380258,0.293429839846664
709029408,Existing Customer,40.1,M,3.8,Graduate,Married,$60K - $80K,Blue,38.7,4.9,0.1,1.3,9199.6,2680.94720973473,6518.65279026527,1.71749214150033,1805.5,17.9788025732436,1.71140558976254,0.380487492770555
708300483,Attrited Customer,64,F,1.9,Doctorate,Married,Unknown,Blue,60,4.4,3.7,2.3,7402.4,549.096886847707,6853.30311315229,0.935821757517565,577.8,15.5974295277574,0.120256379940383,0.157543474871426
827111283,Existing Customer,43.6,M,2.1,Graduate,Single,$80K - $120K,Blue,41.2,1.3,2.6,1.9,31828,310.633021718256,31517.3669782817,1.22374867713739,1175.7,24.3861830918101,0.474720047901556,-0.068743181988765
773146383,Existing Customer,50.9,F,1.1,College,Single,$40K - $60K,Silver,38.5,3.4,2,2.2,17357.9,2865.48242358758,14492.4175764124,1.69166159776396,1683.2,26.7514983815632,1.01749333109812,0.04591045509644
778493808,Existing Customer,49.1,M,2.9,High School,Married,$60K - $80K,Blue,32.3,4.1,1,0.6,4387.4,-470.973965876053,4858.37396587605,0.924864360236582,1614.6,30.9826742773015,0.990376312581901,0.014434244583622
738406533,Existing Customer,60.8,M,2.7,Doctorate,Married,$40K - $60K,Blue,51.9,1,2.9,2.1,2912.5,1591.67433434654,1320.82566565346,2.32308745011073,1653.3,22.1315640892287,1.88579821021011,0.866604725420273
